Configuration,Airplane Body Cost,Airplane Body Breakdown,Remote Cost,Grand Total
With Stencil + Parts,$116.17,(9.16 + 8.01 + 99),$28.42,$144.59
Assembled,$159.35,(61.35 + 98),$148.89,$308.24
